                   Target           MJD              Blazar Flux          Blazar Flux Err          Check Star Flux      Check Star Flux Err
            HESSJ1943+213      57665.10               3.3293e+34               2.4531e+33               1.5079e+35               9.7211e+33
            HESSJ1943+213      57680.09               2.9810e+34               2.4709e+33               1.4668e+35               1.0807e+34
            HESSJ1943+213      57682.11               1.9877e+00               1.8307e+01               1.5644e+35               1.1527e+34
            HESSJ1943+213      57687.11               2.9536e+34               2.9923e+33               1.4940e+35               1.3760e+34
            HESSJ1943+213      57704.08               2.6203e+34               3.1373e+33               1.4940e+35               1.3760e+34
            HESSJ1943+213      57707.07               3.2089e+34               3.2510e+33               1.5359e+35               1.2731e+34
            HESSJ1943+213      57716.05               2.3247e+34               3.4256e+33               1.5218e+35               1.4016e+34
            HESSJ1943+213      57717.05               2.2406e+34               3.3017e+33               1.5218e+35               1.4016e+34
            HESSJ1943+213      57814.54               2.7692e+34               3.3156e+33               1.4137e+35               9.1142e+33
            HESSJ1943+213      57818.53               2.4567e+34               2.2627e+33               1.5079e+35               9.7211e+33
            HESSJ1943+213      57819.54               2.1007e+34               4.2564e+33               1.4007e+35               9.0306e+33
            HESSJ1943+213      57826.51               2.2406e+34               2.6826e+33               1.5079e+35               9.7211e+33
